"bigram","n"
"limbah organik",22
"kerja sama",13
"menjaga kebersihan",13
"kebersihan lingkungan",10
"lingkungan sekitar",7
"bagi lingkungan",6
"kelestarian lingkungan",6
"pestisida alami",6
"sampah organik",6
"secara langsung",6
"sekitar sarang",6
"area sarang",5
"memberikan pengalaman",5
"mengamati aktivitas",5
"mengurangi limbah",5
"menjaga lingkungan",5
"serangga hama",5
"bekerja sama",4
"berkesan bagi",4
"kebersihan area",4
"makhluk hidup",4
"memanfaatkan limbah",4
"mengolah limbah",4
"pengendali hama",4
"rumah tangga",4
"atau predator",3
"berjalan lancar",3
"bermanfaat bagi",3
"bioteknologi lingkungan",3
"hama atau",3
"ikut menjaga",3
"ikut serta",3
"ingin mengembangkan",3
"keamanan lingkungan",3
"keseimbangan ekosistem",3
"koloni serta",3
"konsep ekologi",3
"memahami bahwa",3
"mengurangi sampah",3
"menjaga kelestarian",3
"menyadari bahwa",3
"paling berkesan",3
"peduli lingkungan",3
"peduli terhadap",3
"pelestarian lingkungan",3
"pengalaman baru",3
"ramah lingkungan",3
"sadar bahwa",3
"sama tim",3
"terhadap lingkungan",3
"aman bagi",2
"atau kebun",2
"bagaimana konsep",2
"bagi tanaman",2
"bahan alami",2
"bahwa kebersihan",2
"bahwa kepedulian",2
"beberapa jenis",2
"bersama tim",2
"cara membuat",2
"cukup paham",2
"dilakukan secara",2
"hal paling",2
"hal tersebut",2
"hama predator",2
"hanya bermanfaat",2
"harus terus",2
"ilmu baru",2
"jenis hama",2
"kehidupan sehari",2
"kepedulian terhadap",2
"kesehatan koloni",2
"langsung bagaimana",2
"lingkungan harus",2
"masih perlu",2
"melalui tindakan",2
"melihat secara",2
"memahami bagaimana",2
"memahami cara",2
"membantu menjaga",2
"memberi manfaat",2
"mengamati perilaku",2
"mengembangkan program",2
"mengenal beberapa",2
"mengganggu aktivitas",2
"mengganggu pertumbuhan",2
"mengganggu sarang",2
"menggunakan bahan",2
"mengurangi hama",2
"merusak lingkungan",2
"organik agar",2
"organik rumah",2
"organik secara",2
"organik seperti",2
"organik serta",2
"pembagian tugas",2
"pengalaman langsung",2
"pengolahan limbah",2
"pola aktivitas",2
"pupuk alami",2
"saling membantu",2
"sama antar",2
"secara individu",2
"sederhana seperti",2
"sehari hari",2
"selama berkegiatan",2
"seperti semut",2
"setiap orang",2
"tanaman atau",2
"teori ekologi",2
"terhadap kebersihan",2
"terhadap kelestarian",2
"tetap terjaga",2
"tindakan nyata",2
"1 meter",1
"ada dilingkungan",1
"ada pengalaman",1
"ada perbedaan",1
"adanya arahan",1
"agar ekosistem",1
"agen pengurai",1
"agen penyerbukan",1
"ahli nya",1
"akan merugikan",1
"akan terasa",1
"akhirnya akan",1
"aktif menjaga",1
"aktivitas foraging",1
"alam serta",1
"alami agar",1
"alami bagi",1
"alami bioteknologi",1
"alami peningkatan",1
"alami seperti",1
"alami tanaman",1
"aman tanpa",1
"amdal kemaren",1
"anang selaku",1
"antar teman",1
"antar tim",1
"apa saja",1
"apapun tindakan",1
"aplikasi kan",1
"aplikasi meskipun",1
"aplikasi pemberian",1
"arahan langsung",1
"area sekitar",1
"area tanaman",1
"atau budidaya",1
"atau kapas",1
"atau menggunakan",1
"atau teman",1
"bagaimana cara",1
"bagaimana dampak",1
"bagaimana ia",1
"bagaimana menjaga",1
"bagaimana mereka",1
"bagaimana perannya",1
"bagaimana praktik",1
"bagaimana teori",1
"bagi keseimbangan",1
"bagi kesejahteraan",1
"bagi kolini",1
"bagi koloni",1
"bagi masyarakat",1
"bagian batang",1
"bagian mana",1
"bagian masuk",1
"bahan bahan",1
"bahan berguna",1
"bahan kimia",1
"bahan utama",1
"bahu membahu",1
"bahwa kerja",1
"bahwa lingkungan",1
"bahwa pelestarian",1
"baik maka",1
"baik membantu",1
"baik pula",1
"baik tanpa",1
"bapak anang",1
"baru terkait",1
"baru terutama",1
"batang stup",1
"bekerja bersama",1
"bekerja langsung",1
"bekerja secara",1
"belajar bahwa",1
"belajar berkoordinasi",1
"belajar cara",1
"belajar membuat",1
"belajar memperhatikan",1
"belajar mencatat",1
"belajar mengamati",1
"belum dilakukan",1
"belum tau",1
"benar serta",1
"bentuk peduli",1
"berbagi tugas",1
"berbahaya serta",1
"berdampak besar",1
"berdampak langsung",1
"berdasarkan pengalaman",1
"berguna bagi",1
"berguna menjaga",1
"berjalan aman",1
"berkelompok sehingga",1
"berkomitmen mengurangi",1
"berkomunikasi serta",1
"berkontribusi mengurangi",1
"berkoordinasi berbagi",1
"bermanfaat baik",1
"bermanfaat tanpa",1
"berperan aktif",1
"berpotensi mengganggu",1
"bersifat hama",1
"bersifat teoritis",1
"bertanggung jawab",1
"besar bagi",1
"biasanya keluar",1
"bijak serta",1
"biologi harus",1
"bioteknologi diterapkan",1
"bud agar",1
"bud atau",1
"budidaya serangga",1
"bukan hanya",1
"bukan sekadar",1
"cairan hasil",1
"cairan ramah",1
"cara dioles",1
"cara menerapkan",1
"cara mengenali",1
"cara mengurangi",1
"cara pembuatan",1
