"word","n"
"lingkungan",63
"sarang",33
"organik",29
"menjaga",26
"hama",23
"limbah",23
"kebersihan",22
"langsung",22
"serta",22
"bagi",20
"secara",19
"sama",18
"sekitar",17
"ekosistem",14
"koloni",14
"cara",13
"kerja",13
"membantu",13
"mengurangi",13
"alami",12
"bahwa",12
"lapangan",12
"aktivitas",11
"bagaimana",11
"dilakukan",11
"memahami",11
"mengamati",11
"pengalaman",11
"setuju",11
"membuat",10
"mengganggu",10
"sampah",10
"seperti",10
"terhadap",10
"agar",9
"atau",9
"baik",9
"bermanfaat",9
"hal",9
"melalui",9
"menggunakan",9
"penggunaan",9
"tim",9
"bekerja",8
"belajar",8
"bioteknologi",8
"enzym",8
"kelestarian",8
"manfaat",8
"memberikan",8
"mendukung",8
"peduli",8
"selama",8
"area",7
"ekologi",7
"memanfaatkan",7
"pemanfaatan",7
"pembuatan",7
"pestisida",7
"predator",7
"rumah",7
"serangga",7
"tanaman",7
"ada",6
"bagian",6
"bahan",6
"baru",6
"diberikan",6
"ikut",6
"melakukan",6
"melihat",6
"menyadari",6
"merasa",6
"pengaplikasian",6
"pentingnya",6
"saling",6
"tentang",6
"tetapi",6
"adanya",5
"aman",5
"berjalan",5
"cukup",5
"dimanfaatkan",5
"harus",5
"jenis",5
"mengolah",5
"paham",5
"pengetahuan",5
"pupuk",5
"sadar",5
"selain",5
"aplikasi",4
"berkesan",4
"berkomitmen",4
"budidaya",4
"hanya",4
"hidup",4
"ilmu",4
"ingin",4
"kehidupan",4
"keseimbangan",4
"lancar",4
"makhluk",4
"mencatat",4
"mengenali",4
"nyata",4
"pelaksanaan",4
"pelestarian",4
"pengamatan",4
"pengendali",4
"perilaku",4
"praktik",4
"proses",4
"ramah",4
"sehingga",4
"setiap",4
"tahu",4
"tangga",4
"tanpa",4
"terus",4
"terutama",4
"tugas",4
"yaitu",4
"aktif",3
"berguna",3
"bersama",3
"dampak",3
"dekat",3
"digunakan",3
"diterapkan",3
"fungsi",3
"habitat",3
"hari",3
"hasil",3
"iyaa",3
"keamanan",3
"kebun",3
"kepedulian",3
"kesehatan",3
"ketika",3
"komunikasi",3
"kondisi",3
"konsep",3
"masyarakat",3
"memberi",3
"memperhatikan",3
"mengembangkan",3
"merusak",3
"orang",3
"paling",3
"pengolahan",3
"penting",3
"peran",3
"perlu",3
"program",3
"saat",3
"saja",3
"sederhana",3
"sendiri",3
"setelah",3
"sudah",3
"teknik",3
"teliti",3
"teman",3
"teori",3
"terjaga",3
"terkait",3
"terlihat",3
"termotivasi",3
"tetap",3
"tindakan",3
"agen",2
"akan",2
"alam",2
"amdal",2
"antar",2
"beberapa",2
"bekerjasama",2
"belum",2
"benar",2
"berdampak",2
"berkegiatan",2
"berkomunikasi",2
"berperan",2
"berpotensi",2
"bersifat",2
"besar",2
"buah",2
"bud",2
"bukan",2
"cairan",2
"cicak",2
"ciri",2
"contoh",2
"dapur",2
"desa",2
"efek",2
"efektif",2
"faktor",2
"hati",2
"individu",2
"inovasi",2
"jelas",2
"kakak",2
"kecil",2
"kelompok",2
"keluar",2
"kemampuan",2
"kemaren",2
"kemudian",2
"kita",2
"komunitas",2
"kualitas",2
"lain",2
"mampu",2
"masih",2
"masuk",2
